Algeria;Algiers;36.75;3.04;0.6414085001;0.0530580093
Angola;Luanda;-8.84;13.23;-0.1542871059;0.23090706
Benin;Porto-Novo;6.5;2.6;0.1134464014;0.0453785606
Botswana;Gaborone;-24.65;25.91;-0.4302236606;0.4522148092
Burkina Faso;Ouagadougou;12.37;-1.53;0.2158972285;-0.0267035376
Burundi;Bujumbura;-3.38;29.36;-0.0589921287;0.5124286684
Cameroon;Yaoundé;3.87;11.52;0.0675442421;0.2010619298
Cape Verde;Praia;14.93;-23.51;0.2605776573;-0.4103269071
Central African Republic;Bangui;4.36;18.55;0.0760963554;0.3237585762
Chad;N'Djamena;12.11;15.04;0.2113593724;0.2624975195
Comoros;Moroni;-11.7;43.26;-0.2042035225;0.7550294344
Democratic Republic of the Congo;Kinshasa;-4.32;15.31;-0.0753982237;0.2672099085
Djibouti;Djibouti;11.59;43.15;0.2022836603;0.7531095722
Egypt;Cairo;30.06;31.25;0.5246459731;0.5454153912
Equatorial Guinea;Malabo;3.75;8.78;0.0654498469;0.1532399083
Eritrea;Asmara;15.33;38.93;0.2675589743;0.6794566778
Ethiopia;Addis Ababa;9.02;38.75;0.1574286985;0.6763150851
Gabon;Libreville;0.39;9.45;0.0068067841;0.1649336143
Gambia;Banjul;13.45;-16.58;0.2347467844;-0.28937559
Ghana;Accra;5.56;-0.2;0.0970403064;-0.0034906585
Guinea-Bissau;Bissau;11.86;-15.6;0.2069960493;-0.2722713633
Guinea;Conakry;9.54;-13.68;0.1665044106;-0.2387610417
Ivory Coast;Yamoussoukro;6.82;-5.28;0.119031455;-0.0921533845
Kenya;Nairobi;-1.28;36.82;-0.0223402144;0.6426302306
Lesotho;Maseru;-29.32;27.48;-0.5117305367;0.4796164784
Liberia;Monrovia;6.3;-10.8;0.1099557429;-0.1884955592
Libya;Tripoli;32.88;13.19;0.5738642581;0.2302089283
Madagascar;Antananarivo;-18.91;47.54;-0.3300417616;0.8297295264
Malawi;Lilongwe;-13.97;33.79;-0.2438224965;0.5897467542
Mali;Bamako;12.65;-8;0.2207841504;-0.1396263402
Mauritania;Nouakchott;18.09;-15.98;0.3157300617;-0.2789036145
Mauritius;Port Louis;-20.16;57.5;-0.3518583772;1.0035643199
Mayotte;Mamoutzou;-12.78;45.23;-0.2230530784;0.7894124207
Morocco;Rabat;34.01;-6.83;0.5935864786;-0.1192059879
Mozambique;Maputo;-25.97;32.58;-0.4532620067;0.5686282703
Namibia;Windhoek;-22.56;17.08;-0.3937462792;0.2981022362
Nigeria;Abuja;9.07;7.48;0.1583013632;0.130550628
Niger;Niamey;13.51;2.11;0.2357939819;0.0368264472
Republic of the Congo;Brazzaville;-4.27;15.28;-0.0745255591;0.2666863097
Reunion;Saint-Denis;-20.88;55.45;-0.3644247478;0.9677850702
Rwanda;Kigali;-1.95;30.06;-0.0340339204;0.5246459731
Sao Tome and Principe;São Tomé;0.34;6.73;0.0059341195;0.1174606587
Senegal;Dakar;14.69;-17.44;0.2563888671;-0.3043854215
Seychelles;Victoria;-4.62;55.45;-0.0806342114;0.9677850702
Sierra Leone;Freetown;8.48;-13.23;0.1480039206;-0.23090706
Somalia;Mogadishu;2.04;45.34;0.0356047167;0.7913322829
South Africa;Pretoria;-25.74;28.19;-0.4492477495;0.4920083161
Sudan;Khartoum;15.55;32.53;0.2713986987;0.5677556057
Swaziland;Mbabane;-26.32;31.13;-0.4593706591;0.5433209961
Tanzania;Dodoma;-6.17;35.74;-0.1076868148;0.6237806747
Togo;Lomé;6.14;1.21;0.1071632161;0.0211184839
Tunisia;Tunis;36.82;10.17;0.6426302306;0.1774999849
Uganda;Kampala;0.32;32.58;0.0055850536;0.5686282703
Western Sahara;El Aaiún;27.16;-13.2;0.4740314248;-0.2303834613
Zambia;Lusaka;-15.41;28.29;-0.2689552377;0.4937536454
Zimbabwe;Harare;-17.83;31.05;-0.3111922056;0.5419247327
