American Samoa;Pago Pago;-14.28;-170.7;-0.2492330172;-2.9792770332
Australia;Canberra;-35.28;149.13;-0.6157521601;2.6028095135
Cook Islands;Avarua;-21.21;-159.78;-0.3701843343;-2.7886870788
Fiji;Suva;-18.14;178.44;-0.3166027263;3.1143655173
French Polynesia;Papeete;-17.53;-149.57;-0.3059562179;-2.6104889622
Guam;Hagåtña;13.48;144.75;0.2352703832;2.5263640923
Kiribati;South Tarawa;1.33;172.98;0.0232128791;3.0190705401
Marshall Islands;Majuro;7.09;171.38;0.123743844;2.9911452721
Micronesia;Palikir;6.92;158.16;0.1207767842;2.760412745
Nauru;Yaren;166.93;-0.54;2.9134781204;-0.009424778
New Caledonia;Noumea;-22.28;166.46;-0.3888593573;2.9052750729Palau;Melekeok;7.5;134.62;0.1308996939;2.349562239
New Zealand;Wellington;-41.29;174.78;-0.7206464481;3.0504864666
Niue;Alofi;-19.06;-169.92;-0.3326597554;-2.965663465
Northern Mariana Islands;Saipan;15.21;145.75;0.2654645792;2.5438173848
Norfolk Island;Kingston;-29.05;167.97;-0.5070181477;2.9316295446
Papua New Guinea;Port Moresby;-9.44;147.18;-0.1647590814;2.5687755931
Pitcairn;Adamstown;-25.07;-130.1;-0.4375540435;-2.2706733568
Samoa;Apia;-13.83;-171.77;-0.2413790356;-2.9979520562
Solomon Islands;Honiara;-9.43;159.95;-0.1645845485;2.7916541386
Tokelau;Nukunonu;-171.85;-9.2;-2.9993483196;-0.1605702912
Tonga;Nuku'alofa;-21.13;-175.2;-0.3687880709;-3.0578168495
Tuvalu;Funafuti;-8.52;179.19;-0.1487020523;3.1274554866
Vanuatu;Port Vila;-17.73;168.32;-0.3094468764;2.937738197
Wallis and Futuna;Mata-Utu;-13.28;-176.17;-0.2317797247;-3.0747465432
